log_h,log_rel_error
    -0.84802662,      0.30103000
    -0.77915355,     -0.30103000
    -0.74066152,     -0.60205999
    -0.72024135,     -0.20411998
    -0.70971540,    -0.090176630
    -0.70437055,    -0.042751980
    -0.70167729,    -0.020850139
    -0.70032541,    -0.010299957
    -0.69964815,   -0.0051194441
    -0.69930919,   -0.0025521786
    -0.69913962,   -0.0012742146
    -0.69905482,  -0.00063663996
    -0.69901241,  -0.00031820332
    -0.69899121,  -0.00015907252
    -0.69898061,  -7.9528976E-05
    -0.69897531,  -3.9762668E-05
    -0.69897266,  -1.9880879E-05
    -0.69897133,  -9.9403256E-06
    -0.69897067,  -4.9701344E-06
    -0.69897034,  -2.4850601E-06
